gene_symbol,Frmpd1
parameter_name,Periphery resting time
parameter_id,HRWLLA_OFD_011_001
mouse_strain,C57BL
analysis_id,n6x1hd6ue28oh37
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
pvalue,0.9085021
