parameter_name,Midbrain
gene_symbol,F2
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3740786
gene_accession_id,MGI:88380
analysis_id,476b3m5nu1480on
