analysis_id,dk256fr5z205t6u
mouse_life_stage,E12.5
gene_symbol,Ahcy
parameter_name,Eye
gene_accession_id,MGI:87968
mouse_strain,C57BL
pvalue,0.7827302
parameter_id,IMPC_EYE_001_001
