parameter_name,Fractional Shortening
gene_accession_id,MGI:1916220
pvalue,0.2098798
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,f029372g6d74r7t
parameter_id,IMPC_ECH_005_001
gene_symbol,Dcaf12
