analysis_id,07988k186m103l1
mouse_strain,C57BL
pvalue,0.4773571
parameter_id,IMPC_GEO_048_002
gene_symbol,Atg4c
parameter_name,Anophthalmia
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
