analysis_id,9n14u7l4b854q3h
parameter_id,MGP_IMM_079_001
pvalue,0.9384286
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
mouse_strain,C57BL
gene_symbol,Abo
parameter_name,KLRG1+ Treg cells - % of CD45+
