gene_symbol,Cntfr
parameter_id,IMPC_HEM_038_001
analysis_id,7we3mj2477m4gkv
mouse_strain,129SV
gene_accession_id,MGI:99605
pvalue,0.4102471
mouse_life_stage,Early adult
parameter_name,Basophil differential count
