gene_symbol,Secisbp2l
parameter_name,Total B cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5154172
gene_accession_id,MGI:1917604
analysis_id,rx8y2p601nd34at
parameter_id,MGP_IMM_041_001
