analysis_id,4tz2i6rm6sz1si6
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1924315
pvalue,0.1705269
parameter_id,MGP_MLN_001_001
gene_symbol,Ints7
