analysis_id,085k9ne2a7480zo
mouse_strain,C57BL
pvalue,0.7918785
parameter_name,Follicular B cells - % of B2 cells
parameter_id,MGP_IMM_048_001
gene_symbol,Slc28a2
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
