parameter_name,LVIDd
mouse_life_stage,Middle aged adult
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:109356
gene_symbol,Snap23
analysis_id,epygnksfv3t05ag
pvalue,0.8559592
mouse_strain,C57BL
