gene_symbol,Npbwr1
pvalue,0.06409402
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
analysis_id,ox9g1w159thwm52
parameter_id,ESLIM_011_001_002
