gene_symbol,Grem2
mouse_life_stage,E18.5
parameter_id,IMPC_HEM_039_001
mouse_strain,C57BL
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.3216423
analysis_id,i30vre3x65x90hg
gene_accession_id,MGI:1344367
