analysis_id,33w1g61g276w5w5
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_life_stage,E9.5
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_007_001
mouse_strain,C57BL
pvalue,0.1709893
