analysis_id,lp7s87k7b708axg
pvalue,0.4114446
gene_accession_id,MGI:1921262
mouse_strain,C57BL
parameter_name,Limb morphology
gene_symbol,Rap2b
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
