parameter_name,Stroke Volume
gene_symbol,Tox
pvalue,0.4616309
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_003_001
analysis_id,i20p8bp63np0402
mouse_strain,C57BL
gene_accession_id,MGI:2181659
