analysis_id,9942nux5g31f7qu
parameter_name,DN CD44+CD62L+ NKT cells
mouse_life_stage,E9.5
pvalue,0.5895291
gene_accession_id,MGI:95835
gene_symbol,Hspa5
parameter_id,IMPC_IMM_047_001
mouse_strain,C57BL
