analysis_id,f7kl6oqe76m27g3
mouse_strain,C57BL
parameter_id,HMGULA_CBC_015_001
gene_symbol,Lime1
parameter_name,Total cholesterol
pvalue,0.7707244
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
