gene_symbol,Ppm1j
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
pvalue,0.3511848
gene_accession_id,MGI:1919137
mouse_strain,C57BL
analysis_id,67vz3j0z76d9d3o
mouse_life_stage,Early adult
