analysis_id,2t6urcvigwp4be7
mouse_strain,C57BL
gene_symbol,Sla2
pvalue,0.6294232
gene_accession_id,MGI:1925049
parameter_id,MGP_IMM_022_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
