parameter_name,Heart weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
pvalue,0.3259171
mouse_strain,C57BL
analysis_id,t9xptb284t144t7
gene_symbol,Gfi1b
parameter_id,HMGULA_HWT_008_001
