gene_symbol,Cisd2
analysis_id,x5044ahqbu8rv92
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_028_001
pvalue,0.9988882
gene_accession_id,MGI:1914256
mouse_strain,C57BL
parameter_name,Forebrain
