parameter_name,B Cells
mouse_strain,C57BL
gene_symbol,Slc28a2
analysis_id,bhk106cq69tw9o0
pvalue,0.3227393
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_063_001
gene_accession_id,MGI:1913105
