gene_symbol,Cmpk1
pvalue,0.4241716
gene_accession_id,MGI:1913838
parameter_id,IMPC_IMM_034_001
analysis_id,1563tefg69z3s6t
parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
mouse_strain,C57BL
