analysis_id,p5p1174nfbk24an
mouse_strain,C57BL
pvalue,0.5345623
gene_accession_id,MGI:1914583
parameter_id,JAX_SLW_013_001
parameter_name,Breath rate during sleep mean
gene_symbol,Stk35
mouse_life_stage,Early adult
