mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
parameter_id,IMPC_GPO_002_001
analysis_id,m6g6t4n41im75ru
pvalue,0.3594609
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_name,Placenta Morphology
