gene_symbol,Bmp7
pvalue,0.3762022
parameter_id,HMGULA_CBC_003_001
parameter_name,Chloride
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:103302
analysis_id,q216xn100q22u96
