analysis_id,vb6v516thf1b2n8
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_name,Corneal opacity
mouse_life_stage,Early adult
pvalue,0.6496716
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
