analysis_id,0ct7hv38s1i02tm
gene_accession_id,MGI:1914256
pvalue,0.3471531
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,IMPC_CSD_016_001
gene_symbol,Cisd2
mouse_life_stage,Early adult
