gene_symbol,Mapkap1
analysis_id,m09kk2433z4jt89
mouse_strain,C57BL
parameter_id,IMPC_ACS_033_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
parameter_name,% Pre-pulse inhibition - PPI1
pvalue,0.06921272
