gene_symbol,Inka2
gene_accession_id,MGI:1923497
pvalue,0.305803
parameter_name,Retina (combined)
analysis_id,b68kf7i3qqf5w06
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
