analysis_id,y1nnpvr58rs550x
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
parameter_name,White blood cell-count
pvalue,0.4120532
