gene_symbol,Secisbp2l
parameter_id,GMC_906_001_005
analysis_id,e9b8384qr0b2fim
mouse_strain,C57BL
pvalue,0.3063242
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
parameter_name,Potassium
