analysis_id,hf67c3796q284s5
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
gene_accession_id,MGI:1917604
pvalue,0.1049651
gene_symbol,Secisbp2l
parameter_name,QT
