gene_symbol,Frmpd1
analysis_id,322etrl57x5ib5z
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
pvalue,0.4486974
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
