parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1xf7956m104ecga
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.1654495
