analysis_id,296x3785c6k2q78
parameter_name,Cornea
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_007_001
pvalue,1.361405
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
