parameter_id,IMPC_GPP_004_001
pvalue,0.725717
mouse_life_stage,Early adult
gene_symbol,Kcng1
analysis_id,51jr3y77l13z300
mouse_strain,C57BL
parameter_name,Placenta Size
gene_accession_id,MGI:3616086
