parameter_name,White blood cell count
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924360
pvalue,0.9803081
gene_symbol,Gpbp1l1
analysis_id,b2o0e5u687t53n2
parameter_id,IMPC_HEM_001_001
