analysis_id,mgx431k1z396535
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Wars2
parameter_id,IMPC_GEL_060_001
pvalue,0.395364
parameter_name,Neural tube morphology
gene_accession_id,MGI:1917810
