parameter_name,Glucose response AUC
mouse_strain,C57BL
analysis_id,cybx0jkzfs9621s
mouse_life_stage,Early adult
parameter_id,ESLIM_004_001_701
pvalue,0.5063124
gene_symbol,Atrn
gene_accession_id,MGI:1341628
