analysis_id,57f1qn2mlz4g04n
mouse_strain,C57BL
parameter_id,IMPC_HEM_031_001
parameter_name,Lymphocyte differential count
mouse_life_stage,Early adult
pvalue,0.8962372
gene_accession_id,MGI:1915524
gene_symbol,Toporsl
