analysis_id,8l5c5zf9a9z643y
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_003_001
gene_symbol,Cntfr
pvalue,0.6380286
gene_accession_id,MGI:99605
parameter_name,Chloride
