gene_symbol,Dmap1
parameter_name,Center resting time
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
parameter_id,JAX_OFD_015_001
mouse_strain,C57BL
pvalue,0.8137359
analysis_id,8sbq40ce0iez721
