analysis_id,59q8gjys1o5838e
pvalue,0.7269729
mouse_strain,C57BL
gene_symbol,Hnf4a
parameter_id,IMPC_ABR_002_001
mouse_life_stage,Late adult
parameter_name,Click-evoked ABR threshold
gene_accession_id,MGI:109128
