analysis_id,3319d77672jgg73
pvalue,0.3168317
gene_symbol,Rufy4
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_051_002
parameter_name,Hindlimb nail - number
gene_accession_id,MGI:3588214
