analysis_id,n7y97vp4n1n3h38
mouse_life_stage,Early adult
parameter_name,NK Subsets (Q2)
mouse_strain,C57BL
parameter_id,IMPC_IMM_055_001
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
pvalue,0.7278364
