parameter_name,Fat mass
gene_symbol,Usp37
pvalue,0.724024
analysis_id,968c4z037k11l7w
mouse_strain,C57BL
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
