parameter_name,Femur
gene_accession_id,MGI:2140475
pvalue,0.7863181
gene_symbol,AU040320
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
analysis_id,mv22s5363l8sbdh
