gene_symbol,Cmpk1
analysis_id,1x89qn1q6668e8r
parameter_name,Cornea
pvalue,0.6350985
gene_accession_id,MGI:1913838
mouse_strain,C57BL
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Early adult
