analysis_id,4pv7e0a7pskh1aq
mouse_strain,129SV
pvalue,0.8492395
gene_symbol,Arpc2
parameter_name,Effector NK cells - % of NK cells
parameter_id,MGP_MLN_032_001
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
