analysis_id,77h7m67xn8e98tc
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.6136595
parameter_name,Contact righting
parameter_id,JAXLA_CSD_077_001
mouse_life_stage,E9.5
gene_symbol,Dmap1
