analysis_id,i4292401y54cd35
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
gene_symbol,Kif24
mouse_strain,C57BL
parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
pvalue,0.8297604
