gene_symbol,Eprs1
mouse_strain,C57BL
analysis_id,1n031x0n337rug6
parameter_id,MGP_MLN_032_001
mouse_life_stage,Early adult
parameter_name,Effector NK cells - % of NK cells
gene_accession_id,MGI:97838
pvalue,0.1683301
