analysis_id,vm9453mfsu5kbba
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
gene_symbol,Car13
parameter_id,MGP_IMM_013_001
pvalue,0.7778122
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_strain,C57BL
