analysis_id,g32s67lnywu4826
gene_accession_id,MGI:2135738
mouse_strain,C57BL
parameter_name,Radius
mouse_life_stage,Early adult
gene_symbol,Abo
parameter_id,IMPC_XRY_022_001
pvalue,0.2603461
