gene_symbol,Tatdn3
pvalue,0.2620691
analysis_id,n06090xrl90k4w3
parameter_name,Total T cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
parameter_id,MGP_PBI_001_001
