analysis_id,0h8b3h1t1ep334k
parameter_name,Macrophages - % of CD45+
parameter_id,MGP_IMM_121_001
gene_symbol,Bach2
mouse_strain,C57BL
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
pvalue,0.919929
