analysis_id,nvn28ry49uk7ji4
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
pvalue,0.7649221
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_009_001
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_strain,C57BL
