gene_symbol,Mapkap1
pvalue,0.9275461
parameter_name,Cholesterol ratio
gene_accession_id,MGI:2444554
analysis_id,x96y7d9idiq5or6
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
