analysis_id,427z0ta300xegwn
gene_symbol,Sema6c
pvalue,0.09284
parameter_name,Breath rate during sleep mean
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1338032
parameter_id,JAX_SLW_013_001
