parameter_name,Startle response
parameter_id,MGP_CSD_008_001
gene_accession_id,MGI:1914071
mouse_strain,C57BL
analysis_id,i6obuu1mes59rms
pvalue,0.6569605
mouse_life_stage,Early adult
gene_symbol,Bcs1l
