gene_symbol,Ahcy
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:87968
pvalue,0.3653385
parameter_id,MGP_MLN_021_001
analysis_id,z813n1h6i3ako6h
mouse_life_stage,E9.5
mouse_strain,C57BL
