parameter_name,Periphery distance travelled
mouse_strain,C57BL
analysis_id,fw0xy1wgfh214x1
mouse_life_stage,Early adult
pvalue,0.2977199
gene_symbol,Mgst2
gene_accession_id,MGI:2448481
parameter_id,ESLIM_007_001_006
